,Code
A-SMART HOLDINGS LTD.,BQC
A-SONIC AEROSPACE LIMITED,BTJ
AA GROUP HOLDINGS LTD.,5GZ
ABR HOLDINGS LIMITED,533
ABTERRA LTD,L5I
ABUNDANCE INTERNATIONAL LTD,541
ACCORDIA GOLF TRUST,ADQU
ACCRELIST LTD.,5RJ
ACE ACHIEVE INFOCOM LIMITED,A75
ACESIAN PARTNERS LIMITED,5FW
ACMA LTD.,AYV
ACROMEC LIMITED,43F
ADDVALUE TECHNOLOGIES LTD,A31
ADVANCE SCT LIMITED,5FH
ADVANCED HOLDINGS LTD.,BLZ
ADVANCED SYSTEMS AUTOMATION,5TY
ADVANCER GLOBAL LIMITED,43Q
ADVENTUS HOLDINGS LIMITED,5EF
AEI CORPORATION LTD,AWG
AEM HOLDINGS LTD,AWX
AF GLOBAL LIMITED,L38
AGV GROUP LIMITED,1A4
AIMS PROPERTY SECURITIES FUND,BVP
ALIBABA PICTURES GROUP LIMITED,S91
ALLIANCE MINERAL ASSETSLIMITED,40F
ALLIED TECHNOLOGIES LIMITED,A13
ALPHA ENERGY HOLDINGS LIMITED,5TS
AMARA HOLDINGS LTD,A34
AMPLEFIELD LIMITED,AOF
ANAN INTERNATIONAL LIMITED,Y35
ANCHOR RESOURCES LIMITED,43E
ANCHUN INTERNATIONAL HLDGS LTD,BTX
ANNAIK LIMITED,A52
ANNICA HOLDINGS LIMITED,5AL
AOXIN Q & M DENTAL GRP LIMITED,1D4
AP OIL INTERNATIONAL LIMITED,5AU
APAC REALTY LIMITED,CLN
ARION ENTERTAINMENT SPORE LTD,YYB
ARTIVISION TECHNOLOGIES LTD.,5NK
ASCENDAS INDIA TRUST,CY6U
ASIA ENTERPRISES HOLDING LTD,A55
ASIA FASHION HOLDINGS LIMITED,BQI
ASIA VETS HOLDINGS LTD.,5RE
ASIAMEDIC LIMITED,505
ASIAN HEALTHCARE SPECIALISTS,1J3
ASIAN MICRO HOLDINGS LTD,585
ASIAN PAY TELEVISION TRUST,S7OU
ASIAPHOS LIMITED,5WV
ASIATIC GROUP (HOLDINGS) LTD,5CR
ASIATRAVEL.COM HOLDINGS LTD,5AM
ASL MARINE HOLDINGS LTD,A04
ASPEN (GROUP) HOLDINGS LIMITED,1F3
ASPIAL CORPORATION LIMITED,A30
ASTAKA HOLDINGS LIMITED,42S
ASTI HOLDINGS LIMITED,575
ATLANTIC NAVIGATION HLDG(S)LTD,5UL
ATTILAN GROUP LIMITED,5ET
AUSGROUP LIMITED,5GJ
AVARGA LIMITED,U09
AVI-TECH ELECTRONICS LIMITED,BKY
AVIC INTL MARITIME HLDGLIMITED,O2I
AXCELASIA INC.,42U
AYONDO LTD.,1I5
AZEUS SYSTEMS HOLDINGS LTD.,BBW
BAKER TECHNOLOGY LIMITED,BTP
BAN LEONG TECHNOLOGIES LIMITED,B26
BANYAN TREE HOLDINGS LIMITED,B58
BBR HOLDINGS (S) LTD,KJ5
BENG KUANG MARINE LIMITED,BEZ
BEST WORLD INTERNATIONAL LTD,CGN
BH GLOBAL CORPORATION LIMITED,BQN
BIOLIDICS LIMITED,8YY
BLACKGOLD NATURAL RESOURCESLTD,41H
BLUMONT GROUP LTD.,A33
BM MOBILITY LTD.,I9T
BOARDROOM LIMITED,B10
BOLDTEK HOLDINGS LIMITED,5VI
BONVESTS HOLDINGS LTD,B28
BOUSTEAD PROJECTS LIMITED,AVM
BOUSTEAD SINGAPORE LIMITED,F9D
BRC ASIA LIMITED,BEC
BREADTALK GROUP LIMITED,CTN
BRITISH & MALAYAN HLDG LIMITED,CJN
BROADWAY INDUSTRIAL GROUP LTD,B69
BROOK CROMPTON HOLDINGS LTD.,AWC
BUKIT SEMBAWANG ESTATES LTD,B61
BUMITAMA AGRI LTD.,P8Z
BUND CENTER INVESTMENT LTD,BTE
C&G ENV PROTECT HLDGS LTD,D79
CACOLA FURNITURE INTL LIMITED,D2U
CAMSING HEALTHCARE LIMITED,BAC
CAPITAL WORLD LIMITED.,1D5
CAPITALAND LIMITED,C31
CAPTII LIMITED,AWV
CASA HOLDINGS LIMITED,C04
CDW HOLDING LIMITED,BXE
CEI LIMITED,AVV
CENTURION CORPORATION LIMITED,OU8
CFM HOLDINGS LIMITED,5EB
CH OFFSHORE LTD,C13
CHALLENGER TECHNOLOGIES LTD,573
CHARISMA ENERGY SERVICES LTD,5QT
CHASEN HOLDINGS LIMITED,5NV
CHASWOOD RESOURCES HLDGS LTD.,5TW
CHEMICAL INDUSTRIES (F.E.) LTD,C05
CHEUNG WOH TECHNOLOGIES LTD,C50
CHINA AVIATION OIL(S) CORP LTD,G92
CHINA ENVIRONMENT LTD.,5OU
CHINA ENVIRONMENTAL RES GP LTD,RS1
CHINA ESSENCE GROUP LTD.,G54
CHINA EVERBRIGHT WATER LIMITED,U9E
CHINA FISHERY GROUP LIMITED,B0Z
CHINA GAOXIAN FIBREFAB HLDGLTD,AZZ
CHINA GREAT LAND HOLDINGS LTD.,D50
CHINA HAIDA LTD.,C92
CHINA HONGXING SPORTS LIMITED,BR9
CHINA INTERNATIONAL HLDGS LTD,BEH
CHINA JINJIANG ENV HLDG CO LTD,BWM
CHINA JISHAN HOLDINGS LIMITED,J18
CHINA KANGDA FOOD COMPANY LTD,P74
CHINA KUNDA TECH HOLDINGS LTD,GU5
CHINA MEDICAL (INTL) GP LTD,VFP
CHINA MINING INTERNATIONAL LTD,BHD
CHINA PAPER HOLDINGS LIMITED,C71
CHINA REAL ESTATE GRP LTD.,5RA
"CHINA SKY CHEM FIBRE CO., LTD.",E90
CHINA SPORTS INTL LIMITED,FQ8
CHINA STAR FOOD GROUP LIMITED,42W
CHINA SUNSINE CHEM HLDGS LTD.,CH8
CHINA TAISAN TECH GRP HLDGSLTD,AZW
CHINA YUANBANG PROP HLDGS LTD,BCD
CHINESE GLOBAL INVESTORS GRP,5CJ
CHIP ENG SENG CORPORATION LTD,C29
CHOO CHIANG HOLDINGS LTD.,42E
CHUAN HUP HOLDINGS LIMITED,C33
CITIC ENVIROTECH LTD.,CEE
CITY DEVELOPMENTS LIMITED,C09
CIVMEC LIMITED,P9D
CLEARBRIDGE HEALTH LIMITED,1H3
CNA GROUP LTD.,5GC
CNMC GOLDMINE HOLDINGS LIMITED,5TP
COLEX HOLDINGS LIMITED,567
COMBINE WILL INTL HLDGS LTD,N0Z
COMFORTDELGRO CORPORATION LTD,C52
COMPACT METAL INDUSTRIES LTD,T4E
CORDLIFE GROUP LIMITED,P8A
CORTINA HOLDINGS LIMITED,C41
COSCO SHIPPING INTL(S) CO. LTD,F83
COSMOSTEEL HOLDINGS LIMITED,B9S
COURAGE INVESTMENT GRP LIMITED,CIN
COURTS ASIA LIMITED,RE2
CPH LTD,539
CREATIVE TECHNOLOGY LTD,C76
CSC HOLDINGS LTD,C06
CSE GLOBAL LTD,544
CWX GLOBAL LIMITED,594
DAIRY FARM INT'L HOLDINGS LTD,D01
DARCO WATER TECHNOLOGIES LTD,BLR
DASIN RETAIL TRUST,CEDU
DATAPULSE TECHNOLOGY LIMITED,BKW
DBS GROUP HOLDINGS LTD,D05
DEBAO PROPERTY DEVELOPMENT LTD,BTF
DECLOUT LIMITED,5UZ
DEL MONTE PACIFIC LIMITED,D03
DELFI LIMITED,P34
DELONG HOLDINGS LIMITED,BQO
DESIGN STUDIO GROUP LTD.,D11
DISA LIMITED,532
DLF HOLDINGS LIMITED,KUX
DRAGON GROUP INTL LIMITED,MT1
DUKANG DISTILLERS HLDGS LTD,BKV
DUTECH HOLDINGS LIMITED,CZ4
DUTY FREE INTERNATIONALLIMITED,5SO
DYNA-MAC HOLDINGS LTD.,NO4
DYNAMIC COLOURS LIMITED,D6U
ECOWISE HOLDINGS LIMITED,5CT
EDITION LTD.,5HG
EINDEC CORPORATION LIMITED,42Z
ELEC & ELTEK INT CO LTD,E16
ELLIPSIZ LTD,BIX
EMAS OFFSHORE LIMITED,UQ4
EMERGING TOWNS&CITIES SING LTD,1C0
EMS ENERGY LIMITED,42O
ENGRO CORPORATION LIMITED,S44
ENVICTUS INTERNATIONAL HLDGLTD,BQD
ENVIRO-HUB HOLDINGS LTD,L23
EPICENTRE HOLDINGS LIMITED,5MQ
ES GROUP (HOLDINGS) LIMITED,5RC
EUROSPORTS GLOBAL LIMITED,5G1
EXCELPOINT TECHNOLOGY LTD,BDF
EZION HOLDINGS LIMITED,5ME
EZRA HOLDINGS LIMITED,5DN
F J BENJAMIN HOLDINGS LTD,F10
FABCHEM CHINA LIMITED,BFT
FALCON ENERGY GROUP LIMITED,5FL
FAR EAST GROUP LIMITED,5TJ
FAR EAST ORCHARD LIMITED,O10
FEDERAL INT(2000) LTD,BDU
FIGTREE HOLDINGS LIMITED,5F4
FIRST RESOURCES LIMITED,EB5
FIRST SHIP LEASE TRUST,D8DU
FIRST SPONSOR GROUP LIMITED,ADN
FOOD EMPIRE HOLDINGS LIMITED,F03
FORELAND FABRICTECH HLDS LTD,B0I
FORISE INTERNATIONAL LIMITED,I5H
FRAGRANCE GROUP LIMITED,F31
"FRASER AND NEAVE, LIMITED",F99
FRASERS PROPERTY LIMITED,TQ5
FRENCKEN GROUP LIMITED,E28
FU YU CORPORATION LTD,F13
FUJI OFFSET PLATES MFG LTD,508
FUJIAN ZHENYUN PLAS IND CO LTD,5KT
FULL APEX (HOLDINGS) LIMITED,BTY
FUXING CHINA GROUP LIMITED,AWK
G. K. GOH HOLDINGS LIMITED,G41
GALLANT VENTURE LTD.,5IG
GAYLIN HOLDINGS LIMITED,RF7
GCCP RESOURCES LIMITED,41T
GDS GLOBAL LIMITED,5VP
GENTING SINGAPORE LIMITED,G13
GEO ENERGY RESOURCES LIMITED,RE4
GKE CORPORATION LIMITED,595
GL LIMITED,B16
GLOBAL DRAGON LIMITED,586
GLOBAL INVACOM GROUP LIMITED,QS9
GLOBAL INVESTMENTS LIMITED,B73
GLOBAL PALM RESOURCES HLGS LTD,BLW
GLOBAL TESTING CORPORATION LTD,AYN
GOLDEN AGRI-RESOURCES LTD,E5H
GOLDEN ENERGY AND RESOURCESLTD,AUE
GOODLAND GROUP LIMITED,5PC
GP INDUSTRIES LIMITED,G20
GRAND BANKS YACHTS LIMITED,G50
GRAND VENTURE TECHNOLOGY LTD,JLB
GREAT EASTERN HLDGS LTD,G07
GREEN BUILD TECHNOLOGY LIMITED,Y06
GRP LTD,BLU
GS HOLDINGS LIMITED,43A
GSH CORPORATION LIMITED,BDX
GSS ENERGY LIMITED,41F
GUOAN INTERNATIONAL LIMITED,G11
GUOCOLAND LIMITED,F17
GYP PROPERTIES LIMITED,AWS
HAFARY HOLDINGS LIMITED,5VS
HAI LECK HOLDINGS LIMITED,BLH
HALCYON AGRI CORPORATION LTD,5VJ
HANWELL HOLDINGS LIMITED,DM0
HATTEN LAND LIMITED,PH0
HAW PAR CORP LTD,H02
HC SURGICAL SPECIALISTSLIMITED,1B1
HEALTH MANAGEMENT INTL LTD,588
HEALTHWAY MEDICAL CORP LTD,5NG
HEATEC JIETONG HOLDINGS LTD.,5OR
HEETON HOLDINGS LIMITED,5DP
HENGYANG PETROCHEM LOG LIMITED,5PD
HG METAL MANUFACTURING LTD,BTG
HI-P INTERNATIONAL LIMITED,H17
HIAP HOE LIMITED,5JK
HIAP SENG ENGINEERING LTD,510
HIAP TONG CORPORATION LTD.,5PO
HL GLOBAL ENTERPRISES LIMITED,AVX
HO BEE LAND LIMITED,H13
HOCK LIAN SENG HOLDINGS LTD,J2T
HOE LEONG CORPORATION LTD.,H20
HONG FOK CORPORATION LTD,H30
HONG LAI HUAT GROUP LIMITED,CTO
HONG LEONG ASIA LTD.,H22
HONG LEONG FINANCE LIMITED,S41
HONGKONG LAND HOLDINGS LIMITED,H78
HOR KEW CORPORATION LIMITED,BBP
HOSEN GROUP LTD,5EV
HOTEL GRAND CENTRAL LTD,H18
HOTEL PROPERTIES LTD,H15
HOTEL ROYAL LTD,H12
HOTUNG INVESTMENT HLDGS LTD,BLS
HRNETGROUP LIMITED,CHZ
HU AN CABLE HOLDINGS LTD.,KI3
HUAN HSIN HOLDINGS LTD,H16
HUATIONG GLOBAL LIMITED,41B
HUPSTEEL LTD,BMH
HUTCHISON PORT HLDGS TRUST S$,P7VU
HUTCHISON PORT HOLDINGS TRUST,NS8U
HWA HONG CORPORATION LIMITED,H19
HYFLUX LTD,600
HYPHENS PHARMA INTL LIMITED,1J5
ICP LTD,5I4
IEV HOLDINGS LIMITED,5TN
IFAST CORPORATION LTD.,AIY
IFS CAPITAL LIMITED,I49
IHH HEALTHCARE BERHAD,Q0F
IMPERIUM CROWN LIMITED,5HT
INCH KENNETH KAJANG RUBBER PLC,I4R
INDOFOOD AGRI RESOURCES LTD.,5JS
INFORMATICS EDUCATION LTD.,BOU
INNOPAC HOLDINGS LIMITED,I26
INNOTEK LIMITED,M14
INTERNATIONAL PRESS SOFTCOM,571
INTERRA RESOURCES LIMITED,5GI
INTRACO LIMITED,I06
IPC CORPORATION LIMITED,AZA
IPCO INT'L LIMITED,I11
IPS SECUREX HOLDINGS LIMITED,42N
ISDN HOLDINGS LIMITED,I07
ISEC HEALTHCARE LTD.,40T
ISETAN (SINGAPORE) LTD,I15
ISOTEAM LTD.,5WF
ISR CAPITAL LIMITED,5EC
IX BIOPHARMA LTD.,42C
JACKSPEED CORPORATION LIMITED,J17
JADASON ENTERPRISES LTD,J03
JAPAN FOODS HOLDING LTD.,5OI
JAPFA LTD.,UD2
JARDINE CYCLE & CARRIAGE LTD,C07
JARDINE MATHESON HLDGS LTD,J36
JARDINE STRATEGIC HLDGS LTD,J37
JASON HOLDINGS LIMITED,5I3
JASON MARINE GROUP LIMITED,5PF
JASPER INVESTMENTS LIMITED,FQ7
JAWALA INC.,1J7
JB FOODS LIMITED,BEW
JEP HOLDINGS LTD.,1J4
JES INTERNATIONAL HOLDINGS LTD,EG0
JIUTIAN CHEMICAL GROUP LIMITED,C8R
JOYAS INTERNATIONAL HLDGS LTD,E9L
JUBILEE INDUSTRIES HLDGS LTD.,5OS
JUMBO GROUP LIMITED,42R
KARIN TECHNOLOGY HLDGS LIMITED,K29
KATRINA GROUP LTD.,1A0
KENCANA AGRI LIMITED,BNE
KEONG HONG HOLDINGS LIMITED,5TT
KEPPEL CORPORATION LIMITED,BN4
KEPPEL INFRA TRUST WEF 2015,A7RU
KEPPEL TELE & TRAN,K11
KHONG GUAN LIMITED,K03
KIMHENG OFFSHORE&MARINE HLDLTD,5G2
KIMLY LIMITED,1D0
KING WAN CORPORATION LIMITED,554
KINGBOARD COPPER FOIL HDGS LTD,K14
KINGSMEN CREATIVES LTD,5MZ
KITCHEN CULTURE HOLDINGS LTD.,5TI
KLW HOLDINGS LTD,504
KODA LTD,BJZ
KOH BROTHERS ECO ENGG LIMITED,5HV
KOH BROTHERS GROUP LIMITED,K75
KOON HOLDINGS LIMITED,5DL
KOP LIMITED,5I1
KORI HOLDINGS LIMITED,5VC
KOUFU GROUP LIMITED,VL6
KOYO INTERNATIONAL LIMITED,5OC
