,Divy,Div,Price,Low1,High1,Low52,High52,EPS,PE,Vol,Cap
DUTY FREE INTERNATIONALLIMITED (5SO),14.29,0.03,0.1960,0.1950,0.1950,0.1750,0.2750,0.009,21.67,"160,735",235.648M
DYNA-MAC HOLDINGS LTD. (NO4),,,0.1020,0.1020,0.1040,0.0870,0.1450,-0.020,,"36,207",106.414M
DYNAMIC COLOURS LIMITED (D6U),2.63,0.01,0.1900,0.1900,0.1900,0.1880,0.2750,0.01,14.62,"2,000",39.894M
ECOWISE HOLDINGS LIMITED (5CT),,,0.0280,0.0280,0.0280,0.0230,0.0450,,28.00,"107,531",26.796M
EDITION LTD. (5HG),,,0.0070,0.0070,0.0070,0.0040,0.0070,,,"18,750",17.576M
EINDEC CORPORATION LIMITED (42Z),,,0.0290,0.0230,0.0290,0.0210,0.0480,,,"5,537",3.123M
ELEC & ELTEK INT CO LTD (E16),5.48,0.08,1.4600,1.3500,1.3900,1.2400,1.7500,0.13,10.62,"15,617",257.95M
ELLIPSIZ LTD (BIX),2.35,0.01,0.4250,0.4250,0.4350,0.3000,0.6950,-0.037,,"28,576",72.701M
EMAS OFFSHORE LIMITED (UQ4),,,0.0500,0.0500,0.0500,0.0500,0.0500,,,,
EMERGING TOWNS&CITIES SING LTD (1C0),,,0.0260,0.0250,0.0270,0.0220,0.0740,,,"74,578",25.979M
EMS ENERGY LIMITED (42O),,,0.0220,0.0220,0.0220,0.0220,0.0220,,,,
ENGRO CORPORATION LIMITED (S44),2.96,0.03,0.8450,0.8450,0.8450,0.8350,1.0100,0.050,16.90,"1,714",100.236M
ENVICTUS INTERNATIONAL HLDGLTD (BQD),,,0.1400,0.1400,0.1420,0.1400,0.3666,-0.05,,"18,856",34.596M
ENVIRO-HUB HOLDINGS LTD (L23),8.11,0.00,0.0370,0.0320,0.0330,0.0200,0.0680,0.001,33.00,"19,001",34.114M
EPICENTRE HOLDINGS LIMITED (5MQ),,,0.0890,0.0740,0.1170,0.0450,0.1450,,,"106,096",14.193M
ES GROUP (HOLDINGS) LIMITED (5RC),,,0.0260,0.0260,0.0260,0.0260,0.0260,,,"25,000",3.671M
EUROSPORTS GLOBAL LIMITED (5G1),,,0.1900,0.1850,0.1850,0.1600,0.2250,,,"43,421",48.917M
EXCELPOINT TECHNOLOGY LTD (BDF),5.08,0.03,0.5900,0.5900,0.6000,0.5700,0.7750,0.07,8.68,"9,353",70.324M
EZION HOLDINGS LIMITED (5ME),,,0.0430,0.0430,0.0440,0.0380,0.2550,-0.109,,"52,508,442",160.304M
EZRA HOLDINGS LIMITED (5DN),,,0.0110,0.0110,0.0110,0.0110,0.0110,,,,
F J BENJAMIN HOLDINGS LTD (F10),,,0.0300,0.0300,0.0300,0.0300,0.0648,-0.00,,"22,871",27.298M
FABCHEM CHINA LIMITED (BFT),,,0.1580,0.1250,0.1580,0.1150,0.2550,-0.078,,"2,200",7.394M
FALCON ENERGY GROUP LIMITED (5FL),,,0.0270,0.0260,0.0280,0.0220,0.0680,-0.093,,"844,392",23.669M
FAR EAST GROUP LIMITED (5TJ),,,0.1350,0.1350,0.1360,0.0720,0.1920,,33.75,"4,009",14.645M
FAR EAST ORCHARD LIMITED (O10),4.76,0.06,1.2600,1.2500,1.2700,1.1800,1.5100,0.08,16.80,"57,003",550.877M
FEDERAL INT(2000) LTD (BDU),6.52,0.01,0.2300,0.2150,0.2250,0.2050,0.3850,-0.04,,"16,475",30.947M
FIGTREE HOLDINGS LIMITED (5F4),,,0.1070,0.0900,0.1070,0.0790,0.1500,,,"1,557",37.234M
FIRST RESOURCES LIMITED (EB5),1.89,0.03,1.7200,1.7000,1.7200,1.5000,1.7800,0.09,19.77,"523,290",2.693B
FIRST SHIP LEASE TRUST (D8DU),,,0.0460,0.0460,0.0460,0.0430,0.0920,-0.030,,"164,812",29.323M
FIRST SPONSOR GROUP LIMITED (ADN),1.80,0.02,1.2800,1.2700,1.2800,1.2182,1.3909,0.15,8.47,"11,945",824.796M
FOOD EMPIRE HOLDINGS LIMITED (F03),1.17,0.01,0.5800,0.5700,0.5700,0.4950,0.6900,0.03,16.76,"19,576",304.472M
FORELAND FABRICTECH HLDS LTD (B0I),,,0.0090,0.0090,0.0090,0.0090,0.0090,,,,
FORISE INTERNATIONAL LIMITED (I5H),,,0.0030,0.0030,0.0030,0.0030,0.0080,0.000,,"38,282",6.39M
FRAGRANCE GROUP LIMITED (F31),5.63,0.01,0.1420,0.1380,0.1420,0.1030,0.1630,0.008,17.75,"123,101",953.269M
"FRASER AND NEAVE, LIMITED (F99)",3.31,0.06,1.8100,1.7600,1.8400,1.6700,2.3500,0.09,19.14,"73,915",2.579B
FRASERS PROPERTY LIMITED (TQ5),7.17,0.12,1.7300,1.7200,1.7400,1.5500,2.0300,0.25,6.88,"228,651",5.022B
FRENCKEN GROUP LIMITED (E28),4.55,0.02,0.4700,0.4650,0.5200,0.3700,0.6700,0.07,7.18,"211,260",214.966M
FU YU CORPORATION LTD (F13),5.85,0.01,0.2050,0.2050,0.2100,0.1580,0.2200,0.02,13.12,"2,091,878",158.129M
FUJI OFFSET PLATES MFG LTD (508),,,0.2550,0.2550,0.2550,0.1950,0.2550,,,21,12.728M
FUJIAN ZHENYUN PLAS IND CO LTD (5KT),,,,,,,,,,,
FULL APEX (HOLDINGS) LIMITED (BTY),,,,,,,,,,,
FUXING CHINA GROUP LIMITED (AWK),,,0.7300,0.7300,0.7300,0.7000,1.1200,0.03,22.12,107,12.56M
G. K. GOH HOLDINGS LIMITED (G41),3.45,0.03,0.8800,0.8650,0.8800,0.8600,1.1900,-0.013,,"3,659",280.961M
GALLANT VENTURE LTD. (5IG),,,0.1310,0.1300,0.1310,0.0910,0.1480,-0.016,,"650,242",699.22M
GAYLIN HOLDINGS LIMITED (RF7),,,0.0250,0.0250,0.0260,0.0230,0.0980,-0.034,,"42,968",64.934M
GCCP RESOURCES LIMITED (41T),,,,,,,,,,,
GDS GLOBAL LIMITED (5VP),,,0.2400,0.2400,0.2400,0.2400,0.2400,,,,
GENTING SINGAPORE LIMITED (G13),3.40,0.04,1.0300,1.0200,1.0400,0.8550,1.3300,0.06,16.19,"26,679,744",12.298B
GEO ENERGY RESOURCES LIMITED (RE4),10.93,0.02,0.1830,0.1820,0.1850,0.1640,0.2550,0.020,9.20,"1,261,600",257.466M
GKE CORPORATION LIMITED (595),,,0.0720,0.0650,0.0720,0.0500,0.0930,,,"110,160",49.574M
GL LIMITED (B16),3.01,0.02,0.7300,0.7250,0.7250,0.6950,0.8350,0.048,15.10,"535,565",942.333M
GLOBAL DRAGON LIMITED (586),,,0.0450,0.0450,0.0450,0.0450,0.0796,,,"7,923",23.684M
GLOBAL INVACOM GROUP LIMITED (QS9),,,0.0310,0.0290,0.0300,0.0200,0.1400,0.006,4.83,"147,087",7.878M
GLOBAL INVESTMENTS LIMITED (B73),7.87,0.01,0.1270,0.1270,0.1290,0.1000,0.1500,0.004,32.25,"890,124",222.375M
GLOBAL PALM RESOURCES HLGS LTD (BLW),6.25,0.01,0.1600,0.1600,0.1600,0.1200,0.3650,-0.00,,"3,403",31.404M
GLOBAL TESTING CORPORATION LTD (AYN),29.20,0.20,0.6600,0.6600,0.6600,0.6000,1.3000,-0.14,,"4,664",23.234M
GOLDEN AGRI-RESOURCES LTD (E5H),2.11,0.01,0.2750,0.2750,0.2800,0.2250,0.3700,-0.00,,"14,376,525",3.566B
GOLDEN ENERGY AND RESOURCESLTD (AUE),22.24,0.06,0.2600,0.2300,0.2350,0.2100,0.4200,0.017,13.82,"116,510",552.978M
GOODLAND GROUP LIMITED (5PC),4.77,0.01,0.2200,0.2000,0.2200,0.2000,0.3100,0.02,12.22,"14,382",79.331M
GP INDUSTRIES LIMITED (G20),5.17,0.03,0.5800,0.5800,0.5800,0.5800,0.7900,0.04,14.15,"18,143",280.747M
GRAND BANKS YACHTS LIMITED (G50),1.72,0.01,0.2900,0.2300,0.2850,0.2300,0.3450,0.045,6.33,"11,275",52.507M
GRAND VENTURE TECHNOLOGY LTD (JLB),,,0.2500,0.2500,0.2500,0.2500,0.2500,,,,58.563M
GREAT EASTERN HLDGS LTD (G07),2.28,0.60,26.34,26.20,26.50,24.30,31.60,1.56,16.97,"11,982",12.529B
GREEN BUILD TECHNOLOGY LIMITED (Y06),,,0.0450,0.0300,0.0450,0.0300,0.0450,,,"25,666",11.101M
GRP LTD (BLU),4.63,0.01,0.1080,0.1090,0.1100,0.0970,0.2050,0.00,22.00,"7,959",21.307M
GS HOLDINGS LIMITED (43A),,,0.2550,0.2550,0.2550,0.1700,0.2550,,,"1,954",35.705M
GSH CORPORATION LIMITED (BDX),4.17,0.01,0.2950,0.2950,0.3000,0.2900,0.5050,0.003,98.33,"2,057,421",577.884M
GSS ENERGY LIMITED (41F),,,0.1120,0.1100,0.1150,0.0890,0.1790,,13.75,"4,072,465",54.577M
GUOAN INTERNATIONAL LIMITED (G11),,,0.0210,0.0210,0.0210,0.0100,0.0470,-0.001,,"5,031",150.661M
GUOCOLAND LIMITED (F17),3.74,0.07,1.8700,1.8600,1.8800,1.6700,2.2400,0.15,12.79,"186,195",2.086B
GYP PROPERTIES LIMITED (AWS),,,0.1620,0.1590,0.1590,0.1300,0.2100,0.016,9.94,"17,290",43.712M
HAFARY HOLDINGS LIMITED (5VS),12.35,0.02,0.1620,0.1620,0.1620,0.1550,0.1800,0.025,6.48,"3,607",69.749M
HAI LECK HOLDINGS LIMITED (BLH),1.90,0.01,0.5250,0.5100,0.5250,0.5100,0.5950,-0.007,,"10,603",107.979M
HALCYON AGRI CORPORATION LTD (5VJ),2.17,0.01,0.4450,0.4450,0.4450,0.3500,0.6200,-0.005,,"46,768",709.779M
HANWELL HOLDINGS LIMITED (DM0),4.35,0.01,0.2300,0.2250,0.2400,0.1680,0.2750,0.024,9.79,"201,595",130.053M
HATTEN LAND LIMITED (PH0),,,0.1180,0.1140,0.1160,0.1060,0.1830,,10.36,"454,012",157.103M
HAW PAR CORP LTD (H02),2.31,0.30,13.00,12.90,13.05,11.66,14.10,0.81,15.97,"46,054",2.86B
HC SURGICAL SPECIALISTSLIMITED (1B1),,,0.5850,0.5850,0.5850,0.5600,0.7000,,20.89,"17,278",87.163M
HEALTH MANAGEMENT INTL LTD (588),1.23,0.01,0.5450,0.5450,0.5550,0.5200,0.6750,0.02,32.35,"106,017",460.536M
HEALTHWAY MEDICAL CORP LTD (5NG),,,0.0300,0.0280,0.0300,0.0280,0.0560,,,"173,184",126.806M
HEATEC JIETONG HOLDINGS LTD. (5OR),,,0.0390,0.0380,0.0380,0.0200,0.0720,,,750,4.672M
HEETON HOLDINGS LIMITED (5DP),1.32,0.01,0.4550,0.4450,0.4600,0.4450,0.5900,0.05,8.52,"47,265",149.572M
HENGYANG PETROCHEM LOG LIMITED (5PD),,,0.1990,0.1990,0.1990,0.1990,0.1990,,,,
HG METAL MANUFACTURING LTD (BTG),,,0.2600,0.2600,0.2600,0.2450,0.4250,-0.03,,"20,559",33.129M
HI-P INTERNATIONAL LIMITED (H17),5.15,0.07,1.3600,1.3800,1.5200,0.7300,2.7900,0.12,12.08,"5,579,975",1.208B
HIAP HOE LIMITED (5JK),1.73,0.01,0.8650,0.8600,0.8650,0.8050,0.9200,-0.021,,"14,740",407.033M
HIAP SENG ENGINEERING LTD (510),,,0.0800,0.0600,0.0800,0.0420,0.1270,-0.10,,"11,239",24.3M
HIAP TONG CORPORATION LTD. (5PO),,,0.0740,0.0740,0.0750,0.0570,0.1140,,18.50,"8,446",22.797M
HL GLOBAL ENTERPRISES LIMITED (AVX),7.06,0.03,0.4050,0.3900,0.4100,0.3900,0.5550,0.02,22.78,"5,581",38.505M
HO BEE LAND LIMITED (H13),3.17,0.08,2.5200,2.5000,2.5300,2.2400,2.7100,0.41,6.16,"91,303",1.663B
HOCK LIAN SENG HOLDINGS LTD (J2T),4.93,0.02,0.3650,0.3500,0.3600,0.3050,0.4800,0.027,13.15,"62,067",181.797M
HOE LEONG CORPORATION LTD. (H20),,,0.0020,0.0020,0.0020,0.0020,0.0230,0.002,1.00,"141,775",11.239M
HONG FOK CORPORATION LTD (H30),1.40,0.01,0.7150,0.7150,0.7300,0.6400,0.8150,0.286,2.53,"180,109",502.442M
HONG LAI HUAT GROUP LIMITED (CTO),,,0.2500,0.2550,0.2550,0.1480,0.2800,0.036,7.08,"225,939",56.593M
HONG LEONG ASIA LTD. (H22),,,0.5700,0.5650,0.5900,0.4600,1.0321,-0.15,,"500,196",433.734M
HONG LEONG FINANCE LIMITED (S41),5.49,0.15,2.7300,2.7100,2.7300,2.5200,2.8300,0.26,10.23,"74,339",1.208B
HONGKONG LAND HOLDINGS LIMITED (H78),3.00,0.22,7.33,7.35,7.41,5.88,7.44,1.05,7.04,"1,711,049",17.248B
HOR KEW CORPORATION LIMITED (BBP),,,0.2550,0.2550,0.2550,0.2200,0.4600,-0.611,,137,13.277M
HOSEN GROUP LTD (5EV),,,0.0340,0.0340,0.0340,0.0300,0.0470,,17.00,"10,776",11.047M
HOTEL GRAND CENTRAL LTD (H18),3.73,0.05,1.3400,1.3100,1.3500,1.2400,1.6200,0.05,30.00,"51,271",980.822M
HOTEL PROPERTIES LTD (H15),1.05,0.04,3.8000,3.7100,3.8000,3.4600,4.0500,0.23,16.27,"10,796",1.975B
HOTEL ROYAL LTD (H12),1.61,0.05,3.0000,3.2700,3.2700,2.8100,3.9610,0.06,58.39,"1,218",329.616M
HOTUNG INVESTMENT HLDGS LTD (BLS),9.09,0.15,1.7000,1.6600,1.7000,1.6000,2.0800,0.12,14.00,"30,848",161.761M
HRNETGROUP LIMITED (CHZ),2.91,0.02,0.7900,0.7850,0.7950,0.7050,0.9100,0.05,16.46,"276,126",794.598M
HU AN CABLE HOLDINGS LTD. (KI3),,,,,,,,,,,
HUAN HSIN HOLDINGS LTD (H16),,,0.0140,0.0140,0.0140,0.0140,0.0140,,,,
HUATIONG GLOBAL LIMITED (41B),,,0.1790,0.1790,0.1790,0.1280,0.1800,,3.44,84,27.098M
HUPSTEEL LTD (BMH),1.35,0.01,0.7500,0.7250,0.7500,0.7250,0.9250,0.03,24.19,"9,359",91.534M
HUTCHISON PORT HLDGS TRUST S$ (P7VU),,,0.3150,0.3150,0.3150,0.3150,0.4150,0.012,26.25,"12,921,300",2.766B
HUTCHISON PORT HOLDINGS TRUST (NS8U),9.45,0.02,0.2300,0.2300,0.2350,0.2250,0.3550,0.012,19.58,"7,713,587",2.047B
HWA HONG CORPORATION LIMITED (H19),3.51,0.01,0.2850,0.2900,0.2950,0.2500,0.3700,0.007,42.14,"60,584",192.535M
HYFLUX LTD (600),,,0.2100,0.2100,0.2100,0.2100,0.2100,,,,
HYPHENS PHARMA INTL LIMITED (1J5),,,0.1940,0.1940,0.1940,0.1600,0.3050,,7.76,"8,090",58.2M
ICP LTD (5I4),,,0.0090,0.0080,0.0100,0.0070,0.0120,,,"528,210",26.517M
IEV HOLDINGS LIMITED (5TN),,,0.0250,0.0250,0.0250,0.0100,0.0350,,,"11,035",7.138M
IFAST CORPORATION LTD. (AIY),3.30,0.04,1.0900,1.1000,1.1100,0.8650,1.2200,0.04,27.75,"145,384",296.164M
IFS CAPITAL LIMITED (I49),2.50,0.01,0.2200,0.2200,0.2200,0.2100,0.2900,0.05,4.58,"23,179",82.713M
IHH HEALTHCARE BERHAD (Q0F),0.55,0.01,1.8900,1.8900,1.9200,1.5300,2.1500,0.00,475.00,"47,175",16.74B
IMPERIUM CROWN LIMITED (5HT),,,0.0140,0.0130,0.0140,0.0110,0.0730,,,"4,069,482",10.257M
INCH KENNETH KAJANG RUBBER PLC (I4R),,,,,,,,,,,
INDOFOOD AGRI RESOURCES LTD. (5JS),3.33,0.01,0.2100,0.2050,0.2100,0.1830,0.3400,0.003,68.33,"435,354",286.16M
INFORMATICS EDUCATION LTD. (BOU),,,0.0480,0.0480,0.0480,0.0410,0.0880,-0.046,,"1,715",3.466M
INNOPAC HOLDINGS LIMITED (I26),,,,,,,,,,,
INNOTEK LIMITED (M14),2.02,0.01,0.4950,0.4950,0.5100,0.3350,0.5150,0.09,5.73,"166,592",115.416M
INTERNATIONAL PRESS SOFTCOM (571),,,0.0070,0.0070,0.0070,0.0060,0.0197,,,"1,109",5.124M
INTERRA RESOURCES LIMITED (5GI),,,0.0340,0.0330,0.0340,0.0250,0.0690,0.004,8.50,"400,406",19.923M
INTRACO LIMITED (I06),,,0.2550,0.2500,0.2550,0.2500,0.3600,0.024,10.62,"3,385",26.45M
IPC CORPORATION LIMITED (AZA),,,0.3500,0.3200,0.3500,0.2650,0.4750,0.29,1.19,"33,050",29.852M
IPCO INT'L LIMITED (I11),,,0.0010,0.0010,0.0020,0.0010,0.0040,-0.004,,"2,064,665",6.181M
IPS SECUREX HOLDINGS LIMITED (42N),,,0.0500,0.0450,0.0500,0.0450,0.0820,,,"203,176",21.818M
ISDN HOLDINGS LIMITED (I07),3.26,0.01,0.2150,0.2150,0.2150,0.1850,0.2300,0.028,7.68,"460,426",90.66M
ISEC HEALTHCARE LTD. (40T),,,0.2900,0.2850,0.2950,0.2450,0.3200,,17.81,"92,520",147.262M
ISETAN (SINGAPORE) LTD (I15),1.48,0.05,3.3800,3.2000,3.3000,3.2000,3.9500,-0.33,,345,136.125M
ISOTEAM LTD. (5WF),,,0.2100,0.1990,0.2050,0.1800,0.3850,,11.06,"61,732",56.64M
ISR CAPITAL LIMITED (5EC),,,0.0040,0.0040,0.0040,0.0020,0.0060,-0.000,,"345,550",15.629M
IX BIOPHARMA LTD. (42C),,,0.2350,0.2200,0.2250,0.1420,0.2650,,,"160,467",141.811M
JACKSPEED CORPORATION LIMITED (J17),6.94,0.01,0.1440,0.1440,0.1440,0.1350,0.2150,0.021,6.86,484,43.344M
JADASON ENTERPRISES LTD (J03),,,0.0240,0.0230,0.0250,0.0170,0.0740,0.000,,"153,912",18.06M
JAPAN FOODS HOLDING LTD. (5OI),,,0.4300,0.4300,0.4300,0.4000,0.5300,,13.03,"6,075",74.649M
JAPFA LTD. (UD2),0.67,0.01,0.7500,0.6900,0.7500,0.4450,0.8400,0.033,21.36,"2,397,329",1.301B
JARDINE CYCLE & CARRIAGE LTD (C07),3.47,1.18,33.95,33.18,33.92,27.66,38.16,1.06,31.36,"349,349",13.138B
JARDINE MATHESON HLDGS LTD (J36),2.49,1.70,68.41,67.38,68.53,10.99,72.05,4.59,14.93,"236,873",21.799B
JARDINE STRATEGIC HLDGS LTD (J37),,0.20,39.33,38.51,40.25,31.55,40.78,3.23,12.40,"247,379",22.579B
JASON HOLDINGS LIMITED (5I3),,,,,,,,,,,
JASON MARINE GROUP LIMITED (5PF),,,0.1000,0.1000,0.1000,0.1000,0.1500,,,407,10.5M
JASPER INVESTMENTS LIMITED (FQ7),,,0.0070,0.0060,0.0080,0.0030,0.0180,-0.000,,"1,781,437",26.125M
JAWALA INC. (1J7),,,,,,,,,,,
JB FOODS LIMITED (BEW),3.15,0.02,0.6450,0.6400,0.6600,0.4950,0.7650,0.10,6.10,"144,867",194.048M
JEP HOLDINGS LTD. (1J4),,,0.1580,0.1600,0.1620,0.1220,0.3560,,80.00,"160,498",63.94M
JES INTERNATIONAL HOLDINGS LTD (EG0),,,,,,,,,,,
JIUTIAN CHEMICAL GROUP LIMITED (C8R),,,0.0190,0.0200,0.0210,0.0170,0.0730,,2.86,"6,678,134",36.369M
JOYAS INTERNATIONAL HLDGS LTD (E9L),,,0.0030,0.0020,0.0030,0.0010,0.0050,,,"286,418",5.741M
JUBILEE INDUSTRIES HLDGS LTD. (5OS),,,0.0300,0.0300,0.0310,0.0250,0.0430,,15.00,"1,452,926",30.413M
JUMBO GROUP LIMITED (42R),,,0.4050,0.4000,0.4100,0.3600,0.5750,,21.58,"102,134",262.847M
KARIN TECHNOLOGY HLDGS LIMITED (K29),9.36,0.03,0.3300,0.3300,0.3300,0.2750,0.3500,0.02,19.41,"11,529",70.867M
KATRINA GROUP LTD. (1A0),,,0.1850,0.1850,0.1850,0.1400,0.2500,,46.25,"6,017",42.831M
KENCANA AGRI LIMITED (BNE),,,0.0940,0.0940,0.0950,0.0920,0.2700,-0.083,,"4,995",26.979M
KEONG HONG HOLDINGS LIMITED (5TT),4.95,0.03,0.5050,0.4950,0.5050,0.4850,0.6300,0.103,4.90,"15,750",118.428M
KEPPEL CORPORATION LIMITED (BN4),4.08,0.25,6.13,6.15,6.26,5.67,8.35,0.52,12.05,"2,783,178",11.292B
KEPPEL INFRA TRUST WEF 2015 (A7RU),7.29,0.04,0.5100,0.5050,0.5150,0.4450,0.5800,0.01,63.75,"4,602,281",1.968B
KEPPEL TELE & TRAN (K11),1.86,0.04,1.8800,1.8800,1.8900,1.3200,1.9000,0.12,16.15,"290,873",1.057B
KHONG GUAN LIMITED (K03),1.49,0.03,2.0200,2.0200,2.0200,1.7000,2.1800,0.04,50.50,285,52.141M
KIMHENG OFFSHORE&MARINE HLDLTD (5G2),,,0.0700,0.0610,0.0710,0.0500,0.1020,,,"67,698",48.909M
KIMLY LIMITED (1D0),,,0.2400,0.2350,0.2450,0.2250,0.3800,,12.89,"229,768",282.95M
KING WAN CORPORATION LIMITED (554),,,0.1300,0.1160,0.1160,0.0880,0.1500,-0.015,,"3,350",40.505M
KINGBOARD COPPER FOIL HDGS LTD (K14),,,0.4800,0.4450,0.4450,0.3700,0.5200,0.003,148.33,"15,396",321.512M
KINGSMEN CREATIVES LTD (5MZ),4.90,0.03,0.5100,0.5400,0.5500,0.4900,0.6450,0.04,13.17,"41,351",108.762M
KITCHEN CULTURE HOLDINGS LTD. (5TI),,,0.1400,0.1400,0.1400,0.1400,0.1400,,,,
KLW HOLDINGS LTD (504),,,0.0050,0.0040,0.0050,0.0030,0.0070,,,"1,009,370",21.522M
KODA LTD (BJZ),1.41,0.01,0.7100,0.7100,0.7100,0.5900,0.8150,0.09,8.26,"4,229",58.585M
KOH BROTHERS ECO ENGG LIMITED (5HV),,,0.0350,0.0400,0.0430,0.0340,0.0874,,6.67,"19,720",62.565M
KOH BROTHERS GROUP LIMITED (K75),2.79,0.01,0.2150,0.2200,0.2250,0.2050,0.3400,0.016,14.06,"17,403",92.803M
KOON HOLDINGS LIMITED (5DL),,,0.0230,0.0220,0.0220,0.0220,0.0360,0.001,22.00,"4,327",5.788M
