,Divy,Div,Price,Low7,High7,Low52,High52,EPS,PE,ROE,NTA,Vol,Cap
MUDA (3883),1.85,3.500,1.890,1.840,2.210,1.500,2.915,25.42,7.44,7.59,3.350,"15,145",576.55m
MUDAJYA (5085),0.00,0.000,0.290,0.275,0.360,0.265,0.865,-65.45,-,-145.44,0.450,"2,731",175.57m
MUH (9539),0.00,0.000,0.420,0.410,0.460,0.390,0.610,-7.01,-,-5.99,1.170,60,23.70m
MUHIBAH (5703),2.33,7.000,3.000,2.780,3.020,2.440,3.200,29.94,10.02,12.85,2.330,"6,525",1.451b
MUIIND (3891),0.00,0.000,0.170,0.170,0.195,0.145,0.230,-1.41,-,-8.39,0.168,"16,153",498.54m
MUIPROP (3913),0.00,0.000,0.185,0.180,0.210,0.180,0.320,1.01,18.32,2.87,0.352,"16,574",141.35m
MULPHA (3905),0.00,0.000,2.450,1.730,2.480,1.620,2.500,73.74,3.32,7.24,10.190,802,783.07m
MYCRON (5087),0.00,0.000,0.265,0.225,0.290,0.225,0.530,0.84,31.55,0.61,1.380,"1,306",86.67m
MYEG (0138),1.67,1.700,1.020,0.970,1.070,0.655,3.025,-,-,-,0.163,"545,220",3.678b
MYETFDJ (0821EA),2.11,2.390,1.135,1.060,1.135,1.060,1.250,-,-,-,0.000,244,313.15m
MYETFID (0824EA),2.41,2.810,1.165,1.160,1.185,1.085,1.210,-,-,-,0.000,885,49.86m
MYKRIS (03010),3.33,1.000,0.300,0.270,0.300,0.190,0.300,-,-,-,0.120,135,90.00m
MYNEWS (5275),0.74,1.000,1.360,1.350,1.410,1.250,1.780,3.89,34.96,9.49,0.410,"3,340",927.73m
N2N (0108),4.49,4.000,0.890,0.885,1.000,0.620,1.278,2.19,40.64,4.98,0.440,"14,574",532.11m
NADIBHD (0206),0.00,0.000,0.260,0.235,0.285,0.235,0.400,-,-,-,0.620,"89,902",195.78m
NAIM (5073),0.00,0.000,0.940,0.465,1.040,0.430,1.070,12.59,7.47,2.67,4.710,"10,565",482.97m
NATWIDE (9806),0.00,0.000,0.320,0.250,0.320,0.200,0.520,-9.51,-,-0.21,45.000,104,39.44m
NESTLE (4707),1.84,275.000,149.400,147.500,150.600,118.800,158.900,280.98,53.17,100.71,2.790,"1,465",35.034b
NETX (0020),0.00,0.000,0.020,0.015,0.020,0.010,0.040,-0.60,-,-20.00,0.030,"89,934",56.01m
NEXGRAM (0096),0.00,0.000,0.020,0.015,0.025,0.010,0.070,-2.70,-,-0.35,7.750,"172,689",41.42m
NGGB (7241),0.00,0.000,0.470,0.435,0.520,0.330,0.640,0.29,162.07,1.04,0.280,"32,931",220.13m
NHFATT (7060),3.86,11.000,2.850,2.650,2.860,2.500,3.260,16.94,16.82,3.07,5.520,76,235.62m
NICE (7139),0.00,0.000,0.035,0.035,0.050,0.035,0.050,0.48,7.29,8.00,0.060,"4,958",24.59m
NIHSIN (7215),0.00,0.000,0.270,0.255,0.315,0.136,0.315,0.67,40.30,2.09,0.320,"28,888",86.81m
NOTION (0083),1.71,1.000,0.585,0.560,0.685,0.505,0.780,21.45,2.73,17.77,1.207,"26,169",194.91m
NOVA (0201),3.60,1.800,0.500,0.440,0.550,0.280,0.802,2.43,20.58,11.05,0.220,"14,950",158.87m
NOVAMSC (0026),0.00,0.000,0.125,0.110,0.150,0.080,0.205,0.82,15.24,10.25,0.080,"146,890",93.95m
NPC (5047),0.50,1.000,2.000,1.830,2.000,1.780,2.000,-37.06,-,-14.42,2.570,2,240.00m
NPS (03006),1.74,0.400,0.230,0.230,0.230,0.196,0.256,-,-,-,0.070,30,34.27m
NSOP (2038),2.42,8.000,3.300,3.200,3.300,3.110,3.870,24.01,13.74,3.07,7.820,20,231.67m
NTPM (5066),4.80,2.400,0.500,0.495,0.515,0.476,0.639,1.91,26.18,4.66,0.410,"4,313",561.60m
NWP (5025),0.00,0.000,0.065,0.065,0.075,0.065,0.355,-4.62,-,-49.68,0.093,"52,265",25.50m
NYLEX (4944),3.03,2.000,0.660,0.635,0.700,0.560,0.805,7.06,9.35,3.80,1.860,985,128.26m
OCB (5533),0.00,0.000,0.390,0.300,0.390,0.300,0.580,-4.85,-,-2.35,2.060,91,40.11m
OCK (0172),1.75,1.000,0.570,0.535,0.615,0.400,0.820,2.76,20.65,5.63,0.490,"21,678",496.74m
OCNCASH (0049),2.53,1.000,0.395,0.395,0.490,0.379,0.613,2.48,15.93,6.58,0.377,"1,682",96.89m
OCR (7071),0.00,0.000,0.245,0.220,0.275,0.220,0.502,-,-,-,0.320,"5,756",78.86m
OFI (7107),1.96,1.500,0.765,0.665,0.830,0.635,1.030,4.66,16.42,5.75,0.810,956,183.60m
OIB (5827),3.41,7.000,2.050,2.020,2.050,1.880,2.280,35.33,5.80,13.13,2.690,33,317.46m
OKA (7140),8.73,5.500,0.630,0.585,0.660,0.555,0.951,6.48,9.72,8.64,0.750,"1,535",154.60m
OLYMPIA (3018),0.00,0.000,0.110,0.100,0.110,0.090,0.135,0.99,11.11,2.54,0.390,"10,431",112.58m
OMESTI (9008),0.00,0.000,0.370,0.360,0.395,0.335,0.520,-25.84,-,-76.68,0.337,"3,532",176.71m
OPCOM (0035),1.92,1.250,0.650,0.600,0.745,0.312,1.158,4.24,15.33,7.67,0.553,"48,412",104.81m
OPENSYS (0040),3.79,1.250,0.330,0.300,0.360,0.253,0.372,3.40,9.71,17.89,0.190,"8,428",98.30m
ORIENT (4006),5.87,40.000,6.820,6.430,6.880,5.720,6.880,80.74,8.45,7.64,10.571,"1,410",4.231b
ORION (0079),0.00,0.000,0.175,0.140,0.185,0.040,0.185,-,-,-,0.149,"90,878",104.82m
ORNA (5065),5.00,5.000,1.000,0.980,1.060,0.880,1.755,12.49,8.01,5.73,2.180,"3,637",75.25m
OSK (5053),6.12,6.000,0.980,0.905,1.000,0.835,1.030,16.52,5.93,7.48,2.210,"3,467",2.053b
OSKVI (0053),10.53,5.000,0.475,0.465,0.520,0.455,0.630,-15.02,-,-16.88,0.890,299,93.86m
OVERSEA (0153),0.00,0.000,0.130,0.120,0.130,0.110,0.200,-1.90,-,-7.92,0.240,201,32.03m
OWG (5260),0.00,0.000,0.635,0.545,0.740,0.460,1.181,4.98,12.75,5.19,0.960,"8,315",175.96m
P&O (6009),6.19,6.250,1.010,0.995,1.030,0.970,1.124,-3.39,-,-3.00,1.130,350,289.82m
PA (7225),0.00,0.000,0.055,0.050,0.065,0.045,0.085,-0.34,-,-0.06,5.970,"35,026",102.87m
PADINI (7052),3.03,11.500,3.790,3.320,3.920,3.150,6.150,25.57,14.82,24.35,1.050,"10,484",2.493b
PANAMY (3719),6.51,248.000,38.100,37.600,39.000,31.020,39.420,178.52,21.34,13.17,13.560,293,2.314b
PANPAGE (0041),0.00,0.000,0.230,0.220,0.250,0.190,0.315,-,-,-,0.083,"21,795",61.06m
PANSAR (8419),1.80,1.500,0.835,0.825,0.885,0.700,1.226,2.07,40.34,3.51,0.590,"17,156",257.18m
PANTECH (5125),4.42,2.500,0.565,0.445,0.610,0.410,0.640,6.34,8.91,8.13,0.780,"8,395",422.54m
PAOS (5022),2.42,0.800,0.330,0.300,0.385,0.300,0.427,0.68,48.53,1.26,0.540,114,59.78m
PARAGON (9407),0.00,0.000,0.270,0.255,0.300,0.230,0.380,-0.12,-,-0.20,0.610,94,18.90m
PARAMON (1724),7.44,16.000,2.150,2.080,2.200,1.685,2.260,22.16,9.70,8.83,2.510,"1,902",920.78m
PARKSON (5657),0.00,0.000,0.240,0.225,0.260,0.225,0.650,-11.63,-,-5.96,1.950,"10,733",262.54m
PARLO (0022),0.00,0.000,0.080,0.070,0.085,0.070,0.180,-3.29,-,-65.80,0.050,"3,356",29.12m
PASDEC (6912),0.00,0.000,0.395,0.370,0.460,0.300,0.571,-4.69,-,-5.45,0.860,"4,025",158.15m
PASUKGB (0177),0.00,0.000,0.055,0.055,0.070,0.050,0.165,-0.97,-,-9.70,0.100,"8,618",44.64m
PAVREIT (5212),5.08,8.740,1.720,1.680,1.760,1.233,1.760,9.50,18.11,7.50,1.266,"9,085",5.227b
PBA (5041),3.51,4.000,1.140,1.080,1.270,1.020,1.282,-30.09,-,-14.33,2.100,998,377.65m
PBBANK (1295),2.76,69.000,25.020,24.680,25.100,22.020,26.160,144.01,17.37,13.65,10.554,"52,676",97.131b
PCCS (6068),3.39,1.000,0.295,0.200,0.300,0.185,0.315,6.57,4.49,10.38,0.633,"4,679",61.96m
PCHEM (5183),3.45,32.000,9.270,8.370,9.430,7.720,10.200,62.24,14.89,16.34,3.810,"78,206",74.160b
PDZ (6254),0.00,0.000,0.035,0.030,0.040,0.025,0.075,-1.76,-,-22.00,0.080,"24,906",23.87m
PEB (5622),0.00,0.000,0.825,0.800,0.845,0.350,0.845,199.21,0.41,189.72,1.050,834,57.03m
PECCA (5271),5.21,5.000,0.960,0.850,0.975,0.665,1.320,7.33,13.10,8.25,0.888,"7,815",180.48m
PELIKAN (5231),0.00,0.000,0.370,0.340,0.500,0.290,0.880,1.24,29.84,1.57,0.790,968,204.72m
PENERGY (5133),0.00,0.000,0.905,0.380,0.930,0.315,0.930,-6.52,-,-6.33,1.030,"1,822",291.18m
PENSONI (9997),5.13,2.000,0.390,0.365,0.410,0.350,0.640,-4.25,-,-4.78,0.890,269,50.57m
PENTA (7160),0.00,0.000,3.380,3.080,3.460,1.700,3.870,18.04,18.74,16.04,1.125,"17,192",1.070b
PERDANA (7108),0.00,0.000,0.295,0.225,0.345,0.175,0.360,-5.26,-,-8.92,0.590,"51,965",229.65m
PERISAI (0047),0.00,0.000,0.005,0.005,0.005,0.005,0.065,-39.63,-,-,-0.330,"43,632",6.30m
PERMAJU (7080),0.00,0.000,0.405,0.355,0.420,0.195,0.450,-2.06,-,-2.99,0.690,"83,882",79.35m
PERSTIM (5436),6.19,30.000,4.850,4.830,4.960,3.200,5.300,47.72,10.16,12.11,3.940,146,481.63m
PESONA (8311),4.88,1.000,0.205,0.190,0.265,0.170,0.380,1.19,17.23,4.61,0.258,"40,207",142.46m
PESTECH (5219),0.00,0.000,1.160,1.140,1.290,0.950,1.790,6.77,17.13,10.29,0.658,"3,878",886.58m
PETDAG (5681),3.63,97.000,26.700,25.800,28.480,22.680,28.480,85.55,31.21,14.40,5.940,"6,902",26.525b
PETGAS (6033),4.05,72.000,17.780,17.440,18.260,16.320,19.780,91.49,19.43,13.96,6.556,"9,269",35.182b
PETRONM (3042),3.78,25.000,6.610,6.420,7.500,6.010,10.730,83.16,7.95,13.45,6.181,"2,248",1.785b
PGLOBE (3611),0.00,0.000,1.070,1.000,1.100,1.000,1.400,-1.96,-,-1.52,1.290,20,199.72m
PHARMA (7081),6.81,16.000,2.350,2.280,2.780,2.280,4.160,16.30,14.42,8.32,1.960,671,612.19m
PHB (4464),0.00,0.000,0.020,0.015,0.025,0.015,0.045,-1.27,-,-23.52,0.054,"21,848",35.98m
PICORP (7201),1.15,0.150,0.130,0.115,0.140,0.090,0.219,0.21,61.90,1.75,0.120,"13,270",85.54m
PIE (7095),3.68,6.000,1.630,1.560,1.680,1.180,1.770,11.23,14.51,10.03,1.120,"6,602",625.99m
PINEAPP (0006),0.00,0.000,0.300,0.265,0.300,0.240,0.730,0.05,600.00,0.09,0.540,182,14.55m
PINEPAC (1902),0.00,0.000,0.320,0.280,0.350,0.140,0.690,-20.49,-,-40.18,0.510,"9,594",47.94m
PJBUMI (7163),0.00,0.000,0.285,0.105,0.300,0.100,0.300,1.19,23.95,4.41,0.270,69,23.37m
PLABS (0171),1.94,0.600,0.310,0.280,0.345,0.235,0.345,1.81,17.13,8.04,0.225,"3,087",66.57m
PLB (7055),0.00,0.000,1.230,1.100,1.410,1.100,1.800,-4.41,-,-3.27,1.350,200,138.25m
PLENITU (5075),3.04,4.500,1.480,1.440,1.510,1.305,1.605,12.69,11.66,3.13,4.060,343,564.67m
PLS (9695),0.00,0.000,1.000,0.750,1.020,0.650,1.120,-3.29,-,-5.84,0.563,84,326.70m
PMBTECH (7172),1.25,4.000,3.190,3.090,3.300,1.756,4.280,5.77,55.29,2.53,2.280,"1,274",515.55m
PMCORP (4081),0.00,0.000,0.140,0.140,0.160,0.140,0.180,0.43,32.56,1.02,0.420,"1,623",108.27m
PMETAL (8869),1.43,6.000,4.200,4.010,4.360,3.750,5.685,15.68,26.79,19.12,0.820,"36,877",16.871b
PMHLDG (1287),0.00,0.000,0.055,0.050,0.075,0.050,0.210,-0.17,-,-3.27,0.052,"32,753",51.09m
PNEPCB (6637),0.00,0.000,0.500,0.480,0.550,0.460,0.570,-,-,-,0.510,833,65.75m
POHKONG (5080),2.04,1.000,0.490,0.480,0.520,0.430,0.590,5.17,9.48,4.04,1.280,922,201.07m
POHUAT (7088),5.10,8.000,1.570,1.490,1.610,1.080,1.610,20.21,7.77,14.00,1.444,"2,301",366.18m
POLY (8117),0.00,0.000,0.440,0.380,0.480,0.260,0.590,3.66,12.02,3.48,1.053,372,70.39m
POLYMER (03007),1.18,0.200,0.170,0.170,0.170,0.148,0.170,-,-,-,0.045,4,78.69m
POS (4634),4.23,8.000,1.890,1.880,2.260,1.550,4.390,0.56,337.50,0.24,2.370,"11,781",1.479b
PPB (4065),1.62,30.000,18.500,18.000,19.000,14.356,19.000,75.57,24.48,5.11,14.790,"9,628",26.318b
PPG (7190),1.20,0.500,0.415,0.360,0.430,0.330,0.520,0.86,48.26,0.82,1.043,88,41.52m
PPHB (8273),0.00,0.000,0.555,0.490,0.585,0.390,0.700,10.08,5.51,8.54,1.180,"1,202",104.69m
PRESBHD (5204),6.96,2.750,0.395,0.330,0.490,0.255,1.703,-,-,-,0.328,"127,083",191.18m
PRESTAR (9873),1.75,1.000,0.570,0.560,0.650,0.490,0.980,6.16,9.25,4.28,1.440,"1,207",116.75m
PRG (7168),0.00,0.000,0.750,0.735,0.765,0.700,0.920,-2.87,-,-6.74,0.426,"1,097",239.60m
PRIVA (0123),0.00,0.000,0.070,0.055,0.090,0.045,0.150,-0.74,-,-6.17,0.120,"14,595",39.07m
PRKCORP (8346),0.00,0.000,0.395,0.395,0.440,0.295,1.000,-95.88,-,-70.14,1.367,148,39.50m
PRLEXUS (8966),0.88,0.500,0.565,0.555,0.600,0.495,0.845,3.96,14.27,3.05,1.300,"1,869",101.90m
PRTASCO (5070),22.45,5.500,0.245,0.215,0.285,0.190,0.837,-9.80,-,-14.54,0.674,"18,719",121.37m
PSIPTEK (7145),0.00,0.000,0.130,0.120,0.140,0.095,0.165,-,-,-,0.560,"14,172",45.32m
PTARAS (9598),8.85,20.000,2.260,2.250,2.330,2.160,3.300,8.73,25.89,4.85,1.800,267,374.85m
PTB (0038),0.00,0.000,0.140,0.125,0.160,0.120,0.285,-2.72,-,-0.16,16.620,317,26.10m
PTRANS (0186),4.04,0.950,0.235,0.230,0.250,0.214,0.308,2.51,9.36,11.78,0.213,"47,763",334.35m
PUC (0007),0.00,0.000,0.100,0.090,0.105,0.090,0.280,0.30,33.33,2.34,0.128,"194,534",215.79m
PUNCAK (6807),1.35,0.500,0.370,0.350,0.425,0.315,0.690,-37.76,-,-12.38,3.050,"6,762",166.24m
PWF (7134),3.37,3.000,0.890,0.740,0.920,0.685,0.920,7.93,11.22,4.51,1.760,558,154.81m
PWORTH (7123),0.00,0.000,0.045,0.040,0.055,0.035,0.101,-0.67,-,-6.09,0.110,"308,775",184.27m
PWROOT (7237),6.55,9.500,1.450,1.360,1.500,0.909,1.663,3.36,43.15,6.11,0.550,"5,858",583.34m
QES (0196),0.00,0.000,0.235,0.220,0.270,0.165,0.380,1.86,12.63,15.50,0.120,"108,851",178.20m
QL (7084),0.66,4.500,6.830,6.700,7.000,4.235,7.630,13.55,50.41,11.48,1.180,"18,895",11.081b
QUALITY (7544),0.00,0.000,0.815,0.710,0.830,0.705,0.960,-15.87,-,-8.10,1.960,8,47.24m
RALCO (7498),0.00,0.000,0.280,0.190,0.280,0.190,0.580,-21.76,-,-22.20,0.980,19,12.93m
RANHILL (5272),3.73,5.000,1.340,1.180,1.520,0.590,1.520,5.13,26.12,8.27,0.620,"16,468",1.190b
RAPID (7765),0.00,0.000,5.940,5.600,5.950,5.210,6.150,0.52,1142.31,0.40,1.310,"8,315",634.97m
RCECAP (9296),4.19,7.000,1.670,1.580,1.690,0.980,1.720,26.34,6.34,16.06,1.640,"3,801",601.23m
REACH (5256),0.00,0.000,0.295,0.275,0.350,0.210,0.520,-4.05,-,-5.26,0.770,"67,726",323.44m
REDIDEA (03002),0.00,0.000,0.280,0.280,0.280,0.280,0.440,-,-,-,0.040,26,28.00m
REDTONE (0032),0.00,0.000,0.215,0.190,0.225,0.150,0.330,1.18,18.22,6.15,0.192,"3,101",163.02m
RESINTC (7232),7.69,2.500,0.325,0.290,0.325,0.235,0.340,0.83,39.16,0.85,0.974,221,44.59m
REV (0173),220.00,44.000,0.200,0.200,0.240,0.160,0.435,-0.46,-,-9.20,0.050,"3,707",26.93m
REVENUE (0200),0.00,0.000,1.240,1.180,1.340,0.474,1.504,3.53,35.13,16.81,0.210,"82,039",276.33m
REX (9946),4.82,2.000,0.415,0.385,0.415,0.340,0.570,-6.90,-,-14.68,0.470,629,102.35m
REXIT (0106),5.00,3.000,0.600,0.590,0.635,0.525,0.710,4.02,14.93,22.33,0.180,294,113.60m
RGB (0037),3.26,0.700,0.215,0.210,0.250,0.180,0.265,2.28,9.43,15.20,0.150,"38,605",331.18m
RGTBHD (9954),0.00,0.000,0.190,0.180,0.245,0.080,0.250,0.63,30.16,6.18,0.102,"28,533",109.62m
RGTECH (0202),0.00,0.000,0.245,0.235,0.265,0.230,0.650,0.57,42.98,5.09,0.112,"52,922",128.67m
RHBBANK (1066),2.64,15.000,5.690,5.450,5.830,4.815,5.830,57.49,9.90,9.88,5.820,"24,465",22.817b
RHONEMA (5278),6.41,5.000,0.780,0.720,0.785,0.668,0.871,5.51,14.16,8.75,0.630,824,142.43m
ROHAS (9741),4.55,2.500,0.550,0.540,0.675,0.540,1.435,3.41,16.13,4.67,0.730,"1,043",259.96m
RSAWIT (5113),0.00,0.000,0.185,0.185,0.215,0.140,0.335,-10.14,-,-33.80,0.300,"2,842",262.42m
RSENA (5270),0.00,0.000,0.505,0.505,0.505,0.460,0.510,-,-,-,0.017,"14,038",505.00m
RUBEREX (7803),3.89,1.750,0.450,0.430,0.475,0.430,0.645,3.05,14.75,3.55,0.860,829,113.49m
RVIEW (2542),1.99,6.000,3.020,2.860,3.110,2.860,3.960,7.64,39.53,1.86,4.110,39,195.85m
SAB (5134),1.33,5.000,3.750,3.600,3.890,3.580,4.070,20.94,17.91,4.73,4.430,80,513.50m
SALCON (8567),4.08,1.000,0.245,0.225,0.255,0.220,0.357,0.25,98.00,0.45,0.550,"18,548",207.54m
SALUTE (0183),6.67,2.400,0.360,0.355,0.445,0.350,0.807,0.57,63.16,1.33,0.427,"11,246",139.68m
SAM (9822),2.88,23.360,8.100,7.310,8.200,5.666,8.480,56.96,14.22,14.61,3.900,428,1.095b
SAMCHEM (5147),4.76,3.000,0.630,0.610,0.720,0.610,1.140,7.85,8.03,14.81,0.530,"2,983",171.36m
SANBUMI (9113),0.00,0.000,0.325,0.320,0.380,0.115,0.445,-2.96,-,-8.46,0.350,"24,528",80.93m
SANICHI (0133),0.00,0.000,0.060,0.050,0.065,0.050,0.180,-1.83,-,-7.96,0.230,"69,042",66.53m
SAPIND (7811),5.59,4.000,0.715,0.690,0.760,0.680,0.875,9.33,7.66,6.43,1.450,63,52.03m
SAPNRG (5218),3.17,1.000,0.315,0.260,0.335,0.255,0.910,-16.14,-,-10.09,1.600,"1,307,590",5.033b
SAPRES (4596),0.00,0.000,0.650,0.610,0.695,0.600,1.120,8.00,8.12,2.44,3.280,229,90.74m
SASBADI (5252),4.55,1.000,0.220,0.210,0.255,0.200,0.530,0.46,47.83,1.24,0.370,"15,973",92.20m
SAUDEE (5157),0.00,0.000,0.300,0.290,0.335,0.280,0.475,-2.16,-,-4.60,0.470,367,39.72m
SBAGAN (2569),2.00,6.000,3.000,2.970,3.060,2.940,3.540,-11.27,-,-1.27,8.845,37,199.00m
SBCCORP (5207),0.00,0.000,0.510,0.475,0.525,0.400,0.630,3.78,13.49,2.21,1.710,579,131.65m
SCABLE (5170),0.00,0.000,0.250,0.230,0.300,0.205,0.680,-12.35,-,-0.16,76.000,879,79.26m
SCBUILD (0109),0.00,0.000,0.025,0.020,0.035,0.010,0.035,0.13,19.23,3.61,0.036,"4,686",22.08m
SCC (0158),6.67,3.400,0.510,0.505,0.560,0.436,0.560,4.98,10.24,16.60,0.300,310,71.99m
SCGM (7247),5.08,6.000,1.180,1.160,1.300,0.995,2.180,4.27,27.63,4.95,0.862,"3,487",228.45m
SCH (0161),0.00,0.000,0.135,0.130,0.150,0.090,0.210,-1.79,-,-11.85,0.151,"6,004",74.99m
SCIB (9237),0.00,0.000,0.470,0.425,0.530,0.300,0.810,-11.14,-,-19.54,0.570,976,40.36m
SCICOM (0099),6.98,9.000,1.290,1.170,1.380,0.900,2.090,6.52,19.79,23.29,0.280,"1,768",458.54m
SCIENTX (4731),2.28,20.000,8.760,8.630,8.880,6.310,9.380,52.70,16.62,14.13,3.730,"2,937",4.506b
SCNWOLF (7239),0.00,0.000,0.180,0.140,0.180,0.140,0.350,-6.44,-,-16.51,0.390,560,17.32m
SCOMI (7158),0.00,0.000,0.045,0.040,0.065,0.040,0.160,-21.34,-,-88.92,0.240,"41,495",49.23m
SCOMIES (7045),0.00,0.000,0.055,0.045,0.065,0.030,0.120,-6.16,-,-29.33,0.210,"17,275",128.80m
SCOMNET (0001),0.00,0.000,0.750,0.655,0.920,0.280,0.920,1.89,39.68,9.00,0.210,"15,503",482.25m
SCOPE (0028),3.12,0.500,0.160,0.135,0.160,0.115,0.190,-0.22,-,-1.06,0.207,"1,265",89.68m
SDRED (2224),3.79,2.500,0.660,0.650,0.670,0.600,0.935,2.44,27.05,1.18,2.074,373,281.24m
SEACERA (7073),0.00,0.000,0.340,0.240,0.375,0.155,0.770,-9.94,-,-5.65,1.760,"128,391",148.91m
SEAL (4286),0.00,0.000,0.340,0.300,0.385,0.285,0.460,10.01,3.40,8.41,1.190,416,82.60m
SEALINK (5145),0.00,0.000,0.120,0.105,0.145,0.090,0.190,-3.95,-,-5.34,0.740,"2,007",60.00m
SEB (5163),0.00,0.000,0.300,0.240,0.300,0.180,0.475,-9.74,-,-31.42,0.310,153,24.00m
SEDANIA (0178),8.33,1.000,0.120,0.100,0.150,0.090,0.315,-1.93,-,-16.50,0.117,"1,839",27.10m
SEEHUP (7053),1.96,1.800,0.920,0.920,0.940,0.920,1.292,-4.19,-,-4.04,1.038,49,73.99m
SEERS (03009),0.00,0.000,0.100,0.100,0.100,0.085,0.100,-,-,-,0.030,142,25.76m
SEG (9792),5.47,3.500,0.640,0.630,0.640,0.578,0.675,3.33,19.22,44.40,0.075,"1,271",809.32m
SEM (5250),1.86,2.700,1.450,1.390,1.470,1.250,1.570,4.16,34.86,50.73,0.082,"4,255",1.788b
